MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
G3O-33777-MONOMER	G3O-33777	Q08743	Unknown	
G3O-31724-MONOMER	G3O-31724	P47137	YJR096W	
G3O-33615-MONOMER	G3O-33615	Q08492	BUD site selection	
G3O-31557-MONOMER	G3O-31557	P42950	Glucose Starvation Modulator	
G3O-34180-MONOMER	G3O-34180	Q12233	ATP synthase	
G3O-29736-MONOMER	G3O-29736	Q03919	Related to UBiquitin	
G3O-34016-MONOMER	G3O-34016	Q02959	Hda One Similar	
G3O-30439-MONOMER	G3O-30439	P43574	GAT1	
G3O-31041-MONOMER	G3O-31041	P23180	Altered Inheritance rate of Mitochondria	
G3O-29571-MONOMER	G3O-29571	P17255	Vacuolar Membrane Atpase	
G3O-32149-MONOMER	G3O-32149	Q03048	COFilin	
G3O-30823-MONOMER	G3O-30823	P23615	SuPpressor of Ty's	
YCL030C-MONOMER	YCL030C	P00815	histidine biosynthesis trifunctional protein	
G3O-31963-MONOMER	G3O-31963	P36041	EIF4E-Associated Protein	
G3O-32518-MONOMER	G3O-32518	O13547	Covalently linked Cell Wall protein	
MONOMER3O-164	YOR125C	P41735		
G3O-32958-MONOMER	G3O-32958	P49955	Human Sap Homolog	
G3O-32355-MONOMER	G3O-32355	P39931	Unknown	
G3O-33365-MONOMER	G3O-33365	P53747	Unknown	
YGR193C-MONOMER	YGR193C	P16451	Pyruvate Dehydrogenase complex protein X	
G3O-30181-MONOMER	G3O-30181	P39979	Histone and other Protein Acetyltransferase	
G3O-29333-MONOMER	G3O-29333	P09007	SRD1	
G3O-31267-MONOMER	G3O-31267	Q3E746	Unknown	
G3O-32797-MONOMER	G3O-32797	Q03151	MiTochondrial GTPase	
G3O-33761-MONOMER	G3O-33761	Q12029	Fungal SideroFlexin 1	
YOR202W-MONOMER	YOR202W	P06633	imidazole glycerol-phosphate dehydratase	
G3O-31708-MONOMER	G3O-31708	P47126	Unknown	
G3O-33202-MONOMER	G3O-33202	P53871	glutamine amidotransferase II	
G3O-34164-MONOMER	G3O-34164	Q12428	probable 2-methylcitrate dehydratase	
G3O-29966-MONOMER	G3O-29966	Q04053	Sorting NeXin	
G3O-29719-MONOMER	G3O-29719	Q04602	Vacuolar Basic Amino acid transporter	
G3O-29143-MONOMER	G3O-29143	P38132	MiniChromosome Maintenance	
G3O-31025-MONOMER	G3O-31025	P38754	Ribosomal Protein of the Large subunit	
G3O-33598-MONOMER	G3O-33598	P50275	Anaphase Spindle Elongation	
G3O-32133-MONOMER	G3O-32133	Q07825	Fe Repressor of Activation	
G3O-31539-MONOMER	G3O-31539	P47031	Increased Minichromosome Loss	
YBR208C-MONOMER	YBR208C	P32528	urea amidolyase	
G3O-34000-MONOMER	G3O-34000	P48527	Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)	
G3O-32502-MONOMER	G3O-32502	P32366	VMA6	
G3O-30423-MONOMER	G3O-30423	P60010	ACTin	
YKL067W-MONOMER	YKL067W	P36010	nucleoside diphosphate kinase monomer	
G3O-29555-MONOMER	G3O-29555	Q12518	Epsin N-Terminal homology	
G3O-32942-MONOMER	G3O-32942	Q03525	Translation Machinery Associated	
G3O-30807-MONOMER	G3O-30807	P48361	Activator of SKn7	
G3O-33349-MONOMER	G3O-33349	P53735	Zinc Regulated Gene	
G3O-30165-MONOMER	G3O-30165	P32614	Fumarate ReDuctase	
G3O-31947-MONOMER	G3O-31947	P34234	LOw Temperature-responsive	
MONOMER-655	YJL167W	P08524	Erg20	
G3O-29315-MONOMER	G3O-29315	P25593	Unknown	
G3O-32339-MONOMER	G3O-32339	Q05948	Unknown	
G3O-33745-MONOMER	G3O-33745	P14906	SECretory	
G3O-31692-MONOMER	G3O-31692	P47116	Putative serine/Threonine protein Kinase	
YGR043C-MONOMER	YGR043C	P53228	transaldolase	
G3O-31232-MONOMER	G3O-31232	P38889	Suppressor of Kre Null	
G3O-34146-MONOMER	G3O-34146	Q08979	protein containing KELch repeats	
G3O-30587-MONOMER	G3O-30587	P40957	Mitotic Arrest-Deficient	
G3O-28989-MONOMER	G3O-28989	P24583	Protein Kinase C	
G3O-32781-MONOMER	G3O-32781	P24280	SECretory	
G3O-29703-MONOMER	G3O-29703	Q03860	Tlg2-Vesicle Protein	
YOR103C-MONOMER	YOR103C	P46964	oligosaccharyl transferase complex &epsilon; subunit	
G3O-31007-MONOMER	G3O-31007	Q3E705	Exit From G1	
G3O-32115-MONOMER	G3O-32115	Q07800	Plasma membrane Sodium Response	
G3O-33186-MONOMER	G3O-33186	P53885	Multicopy suppressor of Defective G-protein	
YBR046C-MONOMER	YBR046C	P38230	quinone oxidoreductase	
G3O-29950-MONOMER	G3O-29950	Q04182	Pleiotropic Drug Resistance	
G3O-29127-MONOMER	G3O-29127	P38299	Unknown	
G3O-32486-MONOMER	G3O-32486	Q06417	Topoisomerase I Damage Affected	
G3O-33582-MONOMER	G3O-33582	P32854	carboxyPEPtidase Y-deficient	
YJR130C-MONOMER	YJR130C	P47164		
G3O-31523-MONOMER	G3O-31523	P40368	NUclear Pore	
G3O-31398-MONOMER	G3O-31398	P40457	Myosin-Like Protein	
G3O-33984-MONOMER	G3O-33984	Q02831	Unknown	
G3O-32926-MONOMER	G3O-32926	Q04781	RING domain mutant Killed by rtf1 deletion	
G3O-33333-MONOMER	G3O-33333	P53721	Respiratory superComplex Factor	
G3O-30406-MONOMER	G3O-30406	P0CH63	DNA Damage Inducible	
G3O-29539-MONOMER	G3O-29539	P04050	RNA POlymerase	
G3O-30147-MONOMER	G3O-30147	P39992	Unknown	
G3O-30791-MONOMER	G3O-30791	P53249	Unknown	
G3O-29299-MONOMER	G3O-29299	P25572	Unknown	
G3O-31931-MONOMER	G3O-31931	Q03180	Protein containing Internal Repeats	
G3O-33729-MONOMER	G3O-33729	P32490	Mitogen-activated protein Kinase-Kinase	
G3O-42686-MONOMER	G3O-42686		hypothetical protein	
G3O-31676-MONOMER	G3O-31676	P47108	Unhealthy Ribosome Biogenesis	
G3O-32323-MONOMER	G3O-32323	P32344	QRI5	
G3O-34129-MONOMER	G3O-34129	P38687	Signal Recognition Particle	
YGL202W-MONOMER	YGL202W	P53090	aromatic amino acid/aminoadipate aminotransferase monomer	
G3O-30571-MONOMER	G3O-30571	P53165	SaGa associated Factor, 73 kDa	
G3O-31216-MONOMER	G3O-31216	P38873	Kontroller Of Growth	
G3O-29686-MONOMER	G3O-29686	P32896	protein PDC2	
G3O-28973-MONOMER	G3O-28973	P38042	Cell Division Cycle	
G3O-30938-MONOMER	G3O-30938	P53329	Ilm1p BInding	
G3O-32096-MONOMER	G3O-32096	P69852	Helper of ASK1	
G3O-32765-MONOMER	G3O-32765	Q04734	Regulator of IME2	
YOL086C-MONOMER	YOL086C	P00330	alcohol dehydrogenase 1	
YBL091C-MONOMER	YBL091C	P38174	methionine aminopeptidase 2	
G3O-32469-MONOMER	G3O-32469	Q06070	Unknown	
G3O-33170-MONOMER	G3O-33170	P53900	Gene Involved in Microtubule biogenesis	
YJR010W-MONOMER	YJR010W	P08536	Met3	
G3O-29934-MONOMER	G3O-29934	Q04149	MMS and UV Sensitive	
G3O-29111-MONOMER	G3O-29111	P38287	inositol phosphorylceramide mannosyltransferase regulatory subunit	
G3O-31382-MONOMER	G3O-31382	P40466	ForK head Homolog	
G3O-33566-MONOMER	G3O-33566	Q02805	Resistance to O-Dinitrobenzene	
G3O-32910-MONOMER	G3O-32910	Q05022	Ribosomal RNA Processing	
G3O-33317-MONOMER	G3O-33317	P53823	SNZ proximal Open reading frame	
G3O-31507-MONOMER	G3O-31507	P43638	MAP-Homologous Protein	
G3O-33968-MONOMER	G3O-33968	Q02786	Long Chronological Lifespan	
G3O-30131-MONOMER	G3O-30131	P40006	Increased Recombination Centers	
G3O-29281-MONOMER	G3O-29281	P25558	BUD site selection	
G3O-30386-MONOMER	G3O-30386	P0C270	Unknown	
G3O-33713-MONOMER	G3O-33713	P32266	Mitochondrial Genome Maintenance	
G3O-29523-MONOMER	G3O-29523	Q07551	YDL124W	
G3O-31656-MONOMER	G3O-31656	P47086	Unknown	
G3O-30775-MONOMER	G3O-30775	P53238	Penta-EF-Hand protein	
G3O-34113-MONOMER	G3O-34113	Q08970	Mitochondrial Metal Transporter	
G3O-31915-MONOMER	G3O-31915	P14063	Mitochondrial Ribosomal Protein, Large subunit	
G3O-34372-MONOMER	G3O-34372	P03875	AI1	
G3O-30554-MONOMER	G3O-30554	P07273	DNA Strand Transfer	
G3O-32307-MONOMER	G3O-32307	Q06266	Target Of Sbf	
G3O-29670-MONOMER	G3O-29670	Q12156	Altered Inheritance rate of Mitochondria	
YGL037C-MONOMER	YGL037C	P53184	nicotinamidase monomer	PNC1
G3O-33710-MONOMER	G3O-33710	P39744	NucleOlar Complex associated	
G3O-31200-MONOMER	G3O-31200	P16522	Cell Division Cycle	
G3O-31653-MONOMER	G3O-31653	P20459	SUppressor of Initiator codon	
G3O-34110-MONOMER	G3O-34110	Q08967	FLavin Carrier	
G3O-28957-MONOMER	G3O-28957	P34224	Unknown	
G3O-30551-MONOMER	G3O-30551	P53185	Unknown	
G3O-32744-MONOMER	G3O-32744	P54000	SUppressor of TFIIB mutations	
YNR012W-MONOMER	YNR012W	P27515	uridine kinase	
G3O-29667-MONOMER	G3O-29667	P15732	UBiquitin-Conjugating	
G3O-30919-MONOMER	G3O-30919	P53311	Found in Mitochondrial Proteome	
G3O-33154-MONOMER	G3O-33154	P53912	NADH-aldehyde reductase / NADPH-EDHMF reductase	(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone reductase, NADH-dependent aldehyde reductase/NADPH-dependent (2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone reductase
G3O-29918-MONOMER	G3O-29918	Q12458	Yeast Putative Reductase	
G3O-32057-MONOMER	G3O-32057	P0CH09	Ribosomal Protein of the Large subunit	
G3O-29094-MONOMER	G3O-29094	P18963	Inhibitory Regulator of the RAS-cAMP pathway	
Q0275-MONOMER	Q0275	P00420	cytochrome c oxidase subunit III	
G3O-32450-MONOMER	G3O-32450	Q06706	Insensitive to KIller toxin	
G3O-33550-MONOMER	G3O-33550	P0CF20	Unknown	
G3O-31491-MONOMER	G3O-31491	P47069	MonoPolar Spindle	
YJL060W-MONOMER	YJL060W	P47039		
G3O-33952-MONOMER	G3O-33952	Q03081	METhionine requiring	
G3O-31363-MONOMER	G3O-31363	P40483	YIL108W	
G3O-30343-MONOMER	G3O-30343	P40102	Unknown	
G3O-32891-MONOMER	G3O-32891	Q03695	Unknown	
G3O-29507-MONOMER	G3O-29507	P07269	PHOsphate metabolism	
G3O-33296-MONOMER	G3O-33296	P42845	Sin Three Binding protein	
G3O-30108-MONOMER	G3O-30108	Q3E774	Unknown	
G3O-30759-MONOMER	G3O-30759	P53224	ORM1	
G3O-29259-MONOMER	G3O-29259	Q3E820	Unknown	
G3O-31899-MONOMER	G3O-31899	P22936	APurinic/apyrimidinic eNdonuclease	
G3O-34323-MONOMER	G3O-34323	Q08994	Unknown	
G3O-33694-MONOMER	G3O-33694	Q08559	Function required for Yeast Viability	
G3O-32291-MONOMER	G3O-32291	P0CE98	Unknown	
G3O-31637-MONOMER	G3O-31637	P07252	Cytochrome B mRNA Processing	
YFL053W-MONOMER	YFL053W	P43550	dihydroxyacetone kinase 2	
G3O-34094-MONOMER	G3O-34094	Q08957	Activator of Fe (iron) Transcription	
G3O-31184-MONOMER	G3O-31184	P32900	Suppressor of lethality of Kex2 Gas1 double null mutant	
G3O-30535-MONOMER	G3O-30535	P25339	PUmilio-homology domain Family	
G3O-28941-MONOMER	G3O-28941	P18414	Endoplasmic reticulum Retention Defective	
G3O-29651-MONOMER	G3O-29651	P15180	Lysyl (K) tRNA Synthetase	
G3O-32728-MONOMER	G3O-32728	P32559	mitochondrial splicing system 1	
G3O-30903-MONOMER	G3O-30903	P10834	PETite colonies	
G3O-32041-MONOMER	G3O-32041	P36157	Mbf and Sbf Associated	
YNL192W-MONOMER	YNL192W	P08004	chitin synthase 1	
G3O-33137-MONOMER	G3O-33137	P28000	RNA Polymerase C	
MONOMER3O-75	YBR256C	P38145	riboflavine synthetase monomer	
G3O-29902-MONOMER	G3O-29902	Q05518	Pears And Lemons	
G3O-32434-MONOMER	G3O-32434	Q12129	Nonsense-Mediated mRNA Decay	
YIR015W-MONOMER	YIR015W	P40571	ribonuclease P	
G3O-29078-MONOMER	G3O-29078	P38088	Glycyl-tRNA Synthase	
G3O-33533-MONOMER	G3O-33533	Q08285	Ribosomal RNA Processing	
G3O-31347-MONOMER	G3O-31347	P40502	Altered Inheritance rate of Mitochondria	
G3O-31472-MONOMER	G3O-31472	Q8TGN5	Unknown	
G3O-32875-MONOMER	G3O-32875	Q03236	Unknown	
G3O-33936-MONOMER	G3O-33936	Q02733	Increased Recombination Centers	
G3O-33280-MONOMER	G3O-33280	P38629	Replication Factor C	
G3O-30044-MONOMER	G3O-30044	Q04432	Heat-Shock Protein	
G3O-30327-MONOMER	G3O-30327	P32660	Drs2 Neo1 Family	
G3O-29491-MONOMER	G3O-29491	Q12690	Ribosomal Protein of the Large subunit	
G3O-29225-MONOMER	G3O-29225	Q7M4S9	YBL113C	
G3O-30743-MONOMER	G3O-30743	P53209	Unknown	
G3O-33678-MONOMER	G3O-33678	Q12412	pH Nine Sensitive	
G3O-31883-MONOMER	G3O-31883	P33314	BUD site selection	
G3O-31621-MONOMER	G3O-31621	P04650	Ribosomal Protein of the Large subunit	
G3O-34307-MONOMER	G3O-34307	P54999	SMX3	
G3O-34078-MONOMER	G3O-34078	Q08925	Multicopy supressor of RSC-Nhp6 synthetic lethality	
G3O-32275-MONOMER	G3O-32275	Q12098	Synthetic Lethal of unknown (X) function	
G3O-30503-MONOMER	G3O-30503	P40204	SMX2	
YER070W-MONOMER	YER070W	P21524	ribonucleoside-diphosphate reductase, large subunit R1	
G3O-29635-MONOMER	G3O-32	Q12494	inositol hexakisphosphate kinase 1	pKC1 Suppressor
G3O-31168-MONOMER	G3O-31168	P38696	Actin-Related Protein	
G3O-30886-MONOMER	G3O-30886	P42936	Unknown	
G3O-28925-MONOMER	G3O-28925	P36775	Proteolysis In Mitochondria	
G3O-32025-MONOMER	G3O-32025	P33753	Transfer RNA Methyltransferase	
G3O-32711-MONOMER	G3O-32711	Q03099	Unknown	
MONOMER3O-474	YKR072C	P36024	phosphopantothenoylcysteine decarboxylase subunit	
G3O-32418-MONOMER	G3O-32418	Q06134	SPOrulation	
YMR305C-MONOMER	YMR305C	Q04951	glucosidase	
G3O-33121-MONOMER	G3O-33121	P36019	Yeast Protein Two	
YIL066C-MONOMER	YIL066C	P21672	ribonucleoside-diphosphate reductase, large subunit R3	
G3O-29886-MONOMER	G3O-29886	Q06682	UBiquitin regulatory X	
G3O-31330-MONOMER	G3O-31330	P40518	ARp2/3 Complex subunit	
G3O-32859-MONOMER	G3O-32859	Q03212	Endosomal Adaptor of Rsp5p	
G3O-29062-MONOMER	G3O-29062	P38257	Methyl MethaneSulfonate sensitivity	
G3O-33517-MONOMER	G3O-33517	P07280	Ribosomal Protein of the Small subunit	
G3O-33264-MONOMER	G3O-33264	P38971	ALP1	
G3O-31442-MONOMER	G3O-31442	P21657	Degradation of Allantoin	
G3O-30028-MONOMER	G3O-30028	Q12263	Growth Inhibitory	
G3O-33920-MONOMER	G3O-33920	Q12341	Histone AcetylTransferase	
G3O-29205-MONOMER	G3O-29205	P38354	Unknown	
G3O-30310-MONOMER	G3O-30310	P40091	PEAnut shmoo mutant	
G3O-33661-MONOMER	G3O-33661	P20134	Suppressor gene for FLocculation	
G3O-29475-MONOMER	G3O-29475	Q12223	RADiation sensitive	
G3O-31605-MONOMER	G3O-31605	P38970	HALotolerance	
G3O-30727-MONOMER	G3O-30727	P53057	YaPSin	
G3O-34062-MONOMER	G3O-34062	Q12092	AuTophaGy related	
G3O-31867-MONOMER	G3O-31867	P36086	Unknown	
G3O-30485-MONOMER	G3O-30485	P43610	Increased Recombination Centers	
G3O-29618-MONOMER	G3O-29618	Q07738	Unknown	
G3O-34291-MONOMER	G3O-34291	P54791	Origin Recognition Complex	
G3O-32259-MONOMER	G3O-32259	Q12500	Apl2 Vps1 Lethal	
G3O-30870-MONOMER	G3O-30870	P37267	Cytochrome B mRNA Processing	
YER001W-MONOMER	YER001W	P39106	&alpha;-1,3-mannosyltransferase MMN1	
G3O-32009-MONOMER	G3O-32009	P36131	Spindle Pole Component	
G3O-31152-MONOMER	G3O-31152	P38819	Emp24p/Erv25p Related Protein	
MONOMER3O-39568	G3O-42697	Q99337	Transposon Ty1-NL2 Gag-Pol polyprotein	
G3O-28908-MONOMER	G3O-28908	P02294	Histone h Two B	
G3O-32402-MONOMER	G3O-32402	Q06163	Ever Shorter Telomeres	
G3O-32695-MONOMER	G3O-32695	P13483	DATin	
YHR174W-MONOMER	YHR174W	P00925	enolase	
YMR207C-MONOMER	YMR207C	P32874	acetyl-coenzyme A carboxylase subunit	
G3O-31314-MONOMER	G3O-31314	P40530	Protein Kinase of PDH	
G3O-33105-MONOMER	G3O-33105	P34072	Multicopy Kinase Suppressor	
G3O-32843-MONOMER	G3O-32843	Q03790	NUclear Pore	
G3O-29870-MONOMER	G3O-29870	P32776	Transcription initiation Factor IIB	
YPR051W-MONOMER	YPR051W	Q03503	N-acetyltransferase	
G3O-33248-MONOMER	G3O-33248	P53617	Nuclear pre-mRNA Down-regulation	
G3O-29046-MONOMER	G3O-29046	P38248	ExtraCellular Mutant	
G3O-33501-MONOMER	G3O-33501	P30606	myo-Inositol TRansporter	
G3O-30012-MONOMER	G3O-30012	P40960	Perishes in the Absence of CIN8	
G3O-31426-MONOMER	G3O-31426	P40565	Increased Sodium Tolerance	
G3O-29189-MONOMER	G3O-29189	P36532	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33901-MONOMER	G3O-33901	Q3E807	Unknown	
G3O-33645-MONOMER	G3O-33645	P04051	RNA POlymerase	
G3O-31589-MONOMER	G3O-31589	P47008	Sec Fourteen Homolog	
G3O-30293-MONOMER	G3O-30293	P39959	Cousin of Msn2	
G3O-29459-MONOMER	G3O-29459	Q12361	G-Protein coupled Receptor	
G3O-34046-MONOMER	G3O-34046	Q12380	AuTophaGy related	
G3O-30711-MONOMER	G3O-30711	P33307	Chromosome SEgregation	
G3O-30469-MONOMER	G3O-30469	P43598	Inhibitor of Glycogen Debranching	
G3O-31851-MONOMER	G3O-31851	P35736	Unknown	
G3O-29601-MONOMER	G3O-29601	P32797	Cell Division Cycle	
G3O-30854-MONOMER	G3O-30854	P13856	RaS-Related	
G3O-34275-MONOMER	G3O-34275	Q06510	lyso-phosphatidylcholine acyltransferase	TAfaZzin
G3O-32243-MONOMER	G3O-32243	Q12255	New Yeast V-SNARE	
G3O-31993-MONOMER	G3O-31993	P36113	Histone E3 Ligase	
YDR503C-MONOMER	YDR503C	Q04396		
G3O-32385-MONOMER	G3O-32385	Q05892	Unknown	
YHR044C-MONOMER	YHR044C	P38774	2-deoxyglucose-6-phosphate phosphatase	
G3O-31136-MONOMER	G3O-31136	P28007	GAR1	
G3O-28884-MONOMER	G3O-28884	P32768	FLOcculation	
G3O-31298-MONOMER	G3O-31298	P40544	Yeast ortholog of mouse KE4	
G3O-32827-MONOMER	G3O-32827	P40207	ERGosterol biosynthesis	
G3O-32679-MONOMER	G3O-32679	Q04493	Gene Involved in Microtubule biogenesis	
YMR008C-MONOMER	YMR008C	P39105	phospholipase B/lyso-phospholipase	
YPL096W-MONOMER	YPL096W	Q02890	peptide:N-glycanase	
G3O-33089-MONOMER	G3O-33089	P53947	Unknown	
G3O-33232-MONOMER	G3O-33232	P53859	Cep1 Synthetic Lethal	
G3O-29996-MONOMER	G3O-29996	Q03323	Set1c, homologue of Dpy30 from C.elegans	
G3O-29854-MONOMER	G3O-29854	Q05549	Homologous to RecQ protein	
G3O-29029-MONOMER	G3O-29029	P38237	UBiquitin-specific Protease	
G3O-29173-MONOMER	G3O-29173	P38331	Unknown	
G3O-33485-MONOMER	G3O-33485	P35193	AuTophaGy related	
G3O-33629-MONOMER	G3O-33629	P26786	Ribosomal Protein of the Small subunit	
G3O-31404-MONOMER	G3O-31404	P40453	UBiquitin-specific Protease	
G3O-31573-MONOMER	G3O-31573	P47019	Arx1 Little Brother	
G3O-33853-MONOMER	G3O-33853	P0CE86	seriPAUperin	
G3O-34030-MONOMER	G3O-34030	P26321	Ribosomal Protein of the Large subunit	
G3O-30277-MONOMER	G3O-30277	P40071	TransMembrane Nine	
G3O-30453-MONOMER	G3O-30453	P31115	DEpressed Growth rate	
G3O-29585-MONOMER	G3O-29585	P36521	Mitochondrial Ribosomal Protein, Large subunit	
G3O-29443-MONOMER	G3O-29443	P32828	Synthetic Lethal of unknown [X] function	
G3O-30837-MONOMER	G3O-30837	P53279	Functional Homologue of Nce102	
G3O-30695-MONOMER	G3O-30695	P53081	Ngg1p-Interacting Factor	
G3O-31835-MONOMER	G3O-31835	P33417	Intrastrand cross (X)-link Recognition	
G3O-31977-MONOMER	G3O-31977	P35995	Unknown	
MONOMER3O-245	G3O-19	P22803	oxidized thioredoxin 2	
G3O-34259-MONOMER	G3O-34259	P30283	CycLin B	
G3O-32369-MONOMER	G3O-32369	Q06151	DeCapping Scavenger	
G3O-32227-MONOMER	G3O-32227	P41805	Ribosomal Protein of the Large subunit	
YDR300C-MONOMER	YDR300C	P32264	gamma-glutamyl kinase	
YGR279C-MONOMER	YGR279C	P53334	glucosidase	
G3O-31120-MONOMER	G3O-31120	P38793	tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase	
G3O-31282-MONOMER	G3O-31282	P40558	Cytosolic Fe-S cluster Deficient	
G3O-32811-MONOMER	G3O-32811	P38011	Absence of growth Suppressor of Cyp1	
G3O-28866-MONOMER	G3O-28866	P39709	Suppressor of sulfoxyde EthiOnine resistance	
G3O-32663-MONOMER	G3O-32663	Q04638	ITT1	
YOR321W-MONOMER	YOR321W	P47190	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
G3O-33216-MONOMER	G3O-33216	P16523	MEiotic Recombination	
YML042W-MONOMER	YML042W	P32796	mitochondrial and peroxisomal carnitine O-acetyltransferase	
G3O-33073-MONOMER	G3O-33073	P53615	NonClassical Export	
G3O-29980-MONOMER	G3O-29980	Q02354	U Three Protein	
G3O-29838-MONOMER	G3O-29838	P04803	Mitochondrial aminoacyl-tRNA Synthetase, tryptophan (W)	
G3O-29157-MONOMER	G3O-29157	P38137	oxalate--CoA ligase	acyl-activating enzyme 3
G3O-29013-MONOMER	G3O-29013	P38077	ATP synthase	
G3O-33613-MONOMER	G3O-33613	Q08491	SuperKIller	
G3O-33469-MONOMER	G3O-33469	Q12296	MAM3	
G3O-31554-MONOMER	G3O-31554	P40955	CHitin Synthase-related	
G3O-33837-MONOMER	G3O-33837	P48589	Ribosomal Protein of the Small subunit	
G3O-34014-MONOMER	G3O-34014	Q02961	YPL113C	
G3O-30261-MONOMER	G3O-30261	P25451	PUtative Proteasome subunit	
G3O-30437-MONOMER	G3O-30437	P43573	BUD site selection	
G3O-29569-MONOMER	G3O-29569	P48569	Mitochondrial K+/H+ exchange Related	
G3O-29426-MONOMER	G3O-29426	Q3E819	Unknown	
G3O-30821-MONOMER	G3O-30821	P53266	SURF Homolog of Yeast	
G3O-30679-MONOMER	G3O-30679	P53093	Ypt-Interacting Protein	
G3O-31819-MONOMER	G3O-31819	P33202	Ubiquitin Fusion Degradation protein	
G3O-31961-MONOMER	G3O-31961	P36044	MaNNosyltransferase	
G3O-34243-MONOMER	G3O-34243	P30656	PRoteinase yscE	
MONOMER3O-161	G3O-1606	Q02784	oxidized glutaredoxin 5	
YDR155C-MONOMER	YDR155C	P14832	cyclophilin	
G3O-32353-MONOMER	G3O-32353	P38623	Radiation sensitivity Complementing Kinase	
G3O-31104-MONOMER	G3O-31104	P38777	Family of Serine Hydrolases	
YGR183C-MONOMER	YGR183C	P22289	ubiquinol cytochrome c reductase subunit 9	
G3O-28850-MONOMER	G3O-28850	P39727	ER Vesicle	
G3O-31263-MONOMER	G3O-31263	Q6Q547	NucleOlar Protein	
G3O-32647-MONOMER	G3O-32647	Q04689	Altered Inheritance rate of Mitochondria	
G3O-32795-MONOMER	G3O-32795	Q03144	glutaminase	
YOR190W-MONOMER	YOR190W	P32603	exo-1,3-beta-glucanase	
YLR351C-MONOMER	YLR351C	P49954	nitrilase	
G3O-33057-MONOMER	G3O-33057	P53975	Unknown	
G3O-33200-MONOMER	G3O-33200	Q02821	Suppressor of rpb1	
G3O-29822-MONOMER	G3O-29822	Q03787	Unknown	
G3O-29964-MONOMER	G3O-29964	P24813	CADmium resistance	
G3O-33452-MONOMER	G3O-33452	P40303	PRoteinase yscE	
G3O-29141-MONOMER	G3O-29141	P29366	Bud EMergence	
G3O-33821-MONOMER	G3O-33821	P40987	Chromosome INstability	
G3O-33596-MONOMER	G3O-33596	Q08444	Nin1 (One) Binding protein	
G3O-30245-MONOMER	G3O-30245	P0CX31	Ribosomal Protein of the Small subunit	
G3O-31537-MONOMER	G3O-31537	P06105	S. cerevisiae protein involved in the Control of Ploidy	
G3O-29396-MONOMER	G3O-29396	P25608	Unknown	
G3O-33998-MONOMER	G3O-33998	P21825	SECretory	
G3O-30663-MONOMER	G3O-30663	P46946	Sporulation in the Absence of spo Eleven	
G3O-30421-MONOMER	G3O-30421	P43560	Unknown	
G3O-31802-MONOMER	G3O-31802	Q3E7B2	Cytochrome Oxidase Assembly	
G3O-29553-MONOMER	G3O-29553	P06784	STErile	
G3O-34227-MONOMER	G3O-34227	Q06820	Mitochondrial Distribution and Morphology	
G3O-30805-MONOMER	G3O-30805	P53256	Ribosomal RNA Processing	
YDL243C-MONOMER	YDL243C	Q07747	aryl-alcohol dehydrogenase	
G3O-31945-MONOMER	G3O-31945	P34237	CASP Of Yeast	
MONOMER-20234	YOL052C	P21182	S-adenosylmethionine decarboxylase proenzyme	
G3O-31088-MONOMER	G3O-31088	P18962	Dipeptidyl AminoPeptidase	
G3O-32197-MONOMER	G3O-32197	P40395	RIbosome Control	
G3O-32337-MONOMER	G3O-32337	P39520	Interacts with Fork Head	
G3O-28834-MONOMER	G3O-28834	P31381	Function Unknown Now	
YGR032W-MONOMER	YGR032W	P40989	1,3-beta-D-glucan synthase	
G3O-31230-MONOMER	G3O-31230	P0CX36	Ribosomal Protein of the Small subunit	
G3O-32628-MONOMER	G3O-32628	P0CX56	Ribosomal Protein of the Small subunit	
G3O-28987-MONOMER	G3O-28987	P38165	ReTroGrade regulation	
YLR244C-MONOMER	YLR244C	Q01662	methionine aminopeptidase	
G3O-29806-MONOMER	G3O-29806	P11978	Silent Information Regulator	
G3O-32779-MONOMER	G3O-32779	Q04272	Vacuolar Protein Sorting	
G3O-33044-MONOMER	G3O-33044	P40693	Ribosomal-Like Protein	
YOR085W-MONOMER	YOR085W	P48439	oligosaccharyl transferase complex &gamma; subunit	
G3O-33436-MONOMER	G3O-33436	P38967	Tryptophan Amino acid Transporter	
G3O-33184-MONOMER	G3O-33184	P53889	Found in Mitochondrial Proteome	
G3O-33805-MONOMER	G3O-33805	P51533	Pleiotropic Drug Resistance	
G3O-29948-MONOMER	G3O-29948	P34087	RNA Polymerase B	
G3O-29125-MONOMER	G3O-29125	P0CX38	Ribosomal Protein of the Small subunit	
G3O-30229-MONOMER	G3O-30229	P40033	Ribosomal Small subunit of Mitochondria	
G3O-29380-MONOMER	G3O-29380	P16649	deoxyThymidine monophosphate UPtake	
G3O-33580-MONOMER	G3O-33580	Q12013	AnKyrin Repeat-containing protein	
G3O-30647-MONOMER	G3O-30647	P38622	Radiation sensitivity Complementing Kinase	
